AsciiValue Description Row1 Row2 Row3 Row4 Row5
9 	TankLeft 00001100 11110010 00111111 01010101 00111110
32 Space 0 0 0 0 0
33 ! 1 1 1 0 1
34 " 101 101 000 000 000
35 # 01010 11111 01010 11111 01010
36 $ 01111 10100 01110 00101 11110
37 % 0000 1001 0010 0100 1001
38 & 0100 1010 0101 1010 0101
39 ' 1 1 0 0 0
40 ( 01 10 10 10 01
41 ) 10 01 01 01 10
42 * 000 101 010 101 000
43 + 000 010 111 010 000
44 , 00 00 00 01 10
45 - 000 000 111 000 000
46 . 0 0 0 0 1
47 / 00001 00010 00100 01000 10000
48 0 010 101 101 101 010
49 1 010 110 010 010 111
50 2 110 001 010 100 111
51 3 110 001 110 001 110
52 4 101 101 111 001 001
53 5 111 100 110 001 110
54 6 011 100 111 101 111
55 7 111 001 010 100 100
56 8 111 101 111 101 111
57 9 111 101 111 001 110
58 : 0 0 1 0 1
59 ; 00 01 00 01 10
60 < 001 010 100 010 001
61 = 000 111 000 111 000
62 > 100 010 001 010 100
63 ? 111 001 010 000 010
64 @ 0110 1001 1011 1000 0110
65 A 010 101 111 101 101
66 B 110 101 110 101 110
67 C 011 100 100 100 011
68 D 110 101 101 101 110
69 E 111 100 110 100 111
70 F 111 100 110 100 100
71 G 011 100 101 101 011
72 H 101 101 111 101 101
73 I 111 010 010 010 111
74 J 001 001 001 101 111
75 K 101 101 110 101 101
76 L 100 100 100 100 111
77 M 10001 11011 10101 10001 10001
78 N 1001 1101 1011 1001 1001
79 O 111 101 101 101 111
80 P 111 101 111 100 100
81 Q 01110 10001 10101 10010 01101
82 R 110 101 110 101 101
83 S 011 100 010 001 110
84 T 111 010 010 010 010
85 U 101 101 101 101 111
86 V 10001 10001 10001 01010 00100
87 W 10001 10001 10101 10101 01010
88 X 101 101 010 101 101
89 Y 101 101 111 010 010
90 Z 111 001 010 100 111
91 [ 11 10 10 10 11
92 \ 10000 01000 00100 00010 00001
93 ] 11 01 01 01 11
94 ^ 010 101 000 000 000
95 _ 000 000 000 000 111
96 ` 10 01 00 00 00
97 a 000 000 011 101 011
98 b 100 100 110 101 110
99 c 000 000 111 100 111
100 d 001 001 011 101 011
101 e 000 010 101 110 011
102 f 001 010 111 010 010
103 g 011 101 011 001 110
104 h 100 100 110 101 101
105 i 1 0 1 1 1
106 j 01 00 01 01 11
107 k 100 101 110 101 101
108 l 1 1 1 1 1
109 m 00000 00000 01010 10101 10001
110 n 000 000 110 101 101
111 o 000 000 111 101 111
112 p 000 110 101 110 100
113 q 000 011 101 011 001
114 r 000 101 110 100 100
115 s 00 11 10 01 11
116 t 010 111 010 010 010
117 u 000 000 101 101 111
118 v 000 000 101 101 010
119 w 00000 00000 10001 10101 01010
120 x 000 000 101 010 101
121 y 000 101 111 001 110
122 z 00 11 01 10 11
123 { 011 010 100 010 011
124 | 1 1 1 1 1
125 } 110 010 001 010 110
126 ~ 000000 011001 100110 000000 000000
127 TankRight 00110000 01001111 11111100 10101010 01111100
170 ªSmiley 01010 01010 00000 10001 01110
172 ¬StraightFace 00000 01010 01010 00000 11111
175 ¯ 111 000 000 000 000
183 · 0 0 1 0 0
191 ¿ 010 000 010 100 111
198 ÆBigTank 0000111100000000 0011000011111111 1111111111110000 1100110011001100 0011111111110000
215 × 000 101 010 101 000
230 æRocket 00001110000 00100111110 10001111111 00100111110 00001110000
